IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.95.140,80,80,false,SIN,Asia Pacific,Singapore,84,0.00
47.238.3.10,80,443,true,SIN,Asia Pacific,Singapore,23,0.00
8.222.164.209,2083,2083,true,SIN,Asia Pacific,Singapore,112,0.00
8.219.1.92,8080,8080,false,SIN,Asia Pacific,Singapore,100,0.00
47.237.125.8,8080,8080,false,SIN,Asia Pacific,Singapore,57,0.00
8.219.142.191,2087,2087,true,SIN,Asia Pacific,Singapore,53,0.00
47.236.170.225,80,80,false,SIN,Asia Pacific,Singapore,127,0.00
47.236.121.23,80,80,false,SIN,Asia Pacific,Singapore,63,0.00
8.219.199.220,8080,8080,false,SIN,Asia Pacific,Singapore,87,0.00
47.236.189.92,8080,8080,false,SIN,Asia Pacific,Singapore,93,0.00
8.222.144.50,8080,8080,false,SIN,Asia Pacific,Singapore,83,0.00
47.236.169.141,80,80,false,SIN,Asia Pacific,Singapore,92,0.00
8.219.11.158,8080,8080,false,SIN,Asia Pacific,Singapore,84,0.00
8.219.83.201,2095,2095,false,SIN,Asia Pacific,Singapore,142,0.00
8.219.122.55,8080,8080,false,SIN,Asia Pacific,Singapore,113,0.00
47.236.144.156,80,80,false,SIN,Asia Pacific,Singapore,57,0.00
47.237.121.38,2082,2082,false,SIN,Asia Pacific,Singapore,76,0.00
47.237.0.31,80,80,false,SIN,Asia Pacific,Singapore,54,0.00
8.219.122.55,2053,2053,true,SIN,Asia Pacific,Singapore,59,0.00
8.222.156.242,2096,2096,true,SIN,Asia Pacific,Singapore,105,0.00
47.236.189.92,2052,2052,false,SIN,Asia Pacific,Singapore,63,0.00
47.236.149.107,80,80,false,SIN,Asia Pacific,Singapore,125,0.00
8.222.191.138,2082,2082,false,SIN,Asia Pacific,Singapore,85,0.00
47.245.96.80,2053,2053,true,SIN,Asia Pacific,Singapore,106,0.00
8.219.78.188,2083,2083,true,SIN,Asia Pacific,Singapore,69,0.00
47.245.118.70,8080,8080,false,SIN,Asia Pacific,Singapore,63,0.00
8.219.111.147,8443,8443,true,SIN,Asia Pacific,Singapore,59,0.00
47.245.114.163,8080,8080,false,SIN,Asia Pacific,Singapore,89,0.00
8.222.183.242,8080,8080,false,SIN,Asia Pacific,Singapore,76,0.00
8.219.77.222,8880,8880,false,SIN,Asia Pacific,Singapore,87,0.00
8.222.179.231,80,80,false,SIN,Asia Pacific,Singapore,122,0.00
43.134.34.18,443,443,true,SIN,Asia Pacific,Singapore,341,0.00
47.236.17.193,8080,8080,false,SIN,Asia Pacific,Singapore,70,0.00
47.236.144.208,8080,8080,false,SIN,Asia Pacific,Singapore,61,0.00
47.237.95.146,80,80,false,SIN,Asia Pacific,Singapore,79,0.00
47.237.95.13,2082,2082,false,SIN,Asia Pacific,Singapore,59,0.00
47.236.205.188,8080,8080,false,SIN,Asia Pacific,Singapore,65,0.00
47.236.169.15,8080,8080,false,SIN,Asia Pacific,Singapore,121,0.00
47.236.144.156,8080,8080,false,SIN,Asia Pacific,Singapore,66,0.00
47.245.86.230,8080,8080,false,SIN,Asia Pacific,Singapore,112,0.00
47.245.84.124,8080,8080,false,SIN,Asia Pacific,Singapore,152,0.00
47.237.95.13,8080,8080,false,SIN,Asia Pacific,Singapore,61,0.00
47.236.205.188,2082,2082,false,SIN,Asia Pacific,Singapore,69,0.00
47.236.93.176,8080,8080,false,SIN,Asia Pacific,Singapore,70,0.00
8.222.136.247,80,80,false,SIN,Asia Pacific,Singapore,81,0.00
47.245.96.80,80,80,false,SIN,Asia Pacific,Singapore,57,0.00
8.219.78.1,8080,8080,false,SIN,Asia Pacific,Singapore,80,0.00
47.236.254.120,80,80,false,SIN,Asia Pacific,Singapore,113,0.00
47.245.105.224,2087,2087,true,SIN,Asia Pacific,Singapore,55,0.00
8.222.249.190,80,80,false,SIN,Asia Pacific,Singapore,148,0.00
